searc_city,city,country,lat,lng,temp,humidity,cloudiness,windspeed
georgetown,George Town,MY,5.4112,100.3354,81.95,89,20,4.61
tateyama,Tateyama,JP,34.9833,139.8667,65.43,89,97,10.45
ostrovnoy,Ostrovnoy,RU,68.0531,39.5131,33.85,88,100,9.33
bluff,Bluff,NZ,-46.6,168.3333,37.0,89,90,3.0
bow island,Bow Island,CA,49.8668,-111.3684,64.83,45,18,8.05
general roca,General Roca,AR,-39.0333,-67.5833,53.6,71,0,3.44
bathsheba,Bathsheba,BB,13.2167,-59.5167,87.8,55,40,23.02
khatanga,Khatanga,RU,71.9667,102.5,9.23,96,70,7.74
czestochowa,Częstochowa,PL,50.7965,19.1241,64.54,39,20,5.75
kapaa,Kapaa,US,22.0752,-159.319,68.18,78,20,16.11
saint george,Saint George,US,37.1041,-113.5841,81.09,10,1,9.22
olafsvik,Olafsvik,IS,64.8945,-23.7142,42.98,60,17,17.16
chuy,Chui,UY,-33.6971,-53.4616,64.8,45,25,1.25
isangel,Isangel,VU,-19.55,169.2667,76.48,84,33,7.07
salalah,Salalah,OM,17.0151,54.0924,84.2,84,0,6.91
half moon bay,Half Moon Bay,US,37.4636,-122.4286,51.3,93,75,5.75
dilla,Dilla,ET,6.41,38.31,65.64,89,60,3.96
novo aripuana,Novo Aripuanã,BR,-5.1206,-60.3797,85.77,70,62,2.93
guerrero negro,Guerrero Negro,MX,27.9769,-114.0611,61.47,67,100,11.68
vestmannaeyjar,Vestmannaeyjar,IS,63.4427,-20.2734,42.8,56,90,8.05
mar del plata,Mar del Plata,AR,-38.0023,-57.5575,62.69,63,0,10.36
cape town,Cape Town,ZA,-33.9258,18.4232,57.87,100,90,11.5
riachao das neves,Riachão das Neves,BR,-11.7461,-44.91,83.23,40,100,3.96
aleksandrovsk-sakhalinskiy,Aleksandrovsk-Sakhalinskiy,RU,50.8975,142.1561,44.83,91,100,25.08
sisimiut,Sisimiut,GL,66.9395,-53.6735,36.84,85,100,9.66
kayanga,Kayanga,TZ,-1.5303,31.1511,62.11,91,57,1.99
san luis,San Luis,AR,-33.295,-66.3356,66.34,37,94,3.18
urucara,Urucará,BR,-2.5364,-57.76,86.63,68,27,3.44
mirsid,Mirşid,RO,47.2333,23.1333,68.7,46,67,3.44
ugoofaaru,Ugoofaaru,MV,5.6667,73.0,84.72,75,89,26.13
